Relation Type,Source,Count,Example Source,Example Target
"OFFICER (EVP, Product Engineering)",SEC_FORM_4,1,Kozanian Panos,"Five9, Inc."
"OFFICER (EVP, Production Solutions)",SEC_FORM_4,1,Roberts Chad,Flowco Holdings Inc.
"OFFICER (EVP, Production)",SEC_FORM_4,1,Centofanti Erin R.,EQT Corp
"OFFICER (EVP, Property Management)",SEC_FORM_4,1,Fairbanks Amber,MID AMERICA APARTMENT COMMUNITIES INC.
"OFFICER (EVP, Quality & Ethics, and CPL)",SEC_FORM_4,1,Glessner Coleen,Emergent BioSolutions Inc.
"OFFICER (EVP, R&D and CSO)",SEC_FORM_4,1,BISCHOFBERGER NORBERT W,GILEAD SCIENCES INC
"OFFICER (EVP, R&D, & Chief Sci. Officer)",SEC_FORM_4,1,Bradner James E.,AMGEN INC
"OFFICER (EVP, Reg. Policy & Corp. Aff.)",SEC_FORM_4,1,LEVANDER CARL W,NISOURCE INC/DE
"OFFICER (EVP, Research, Dev. & Eng.)",SEC_FORM_4,1,Blumenstock Gerald M,AXCELIS TECHNOLOGIES INC
"OFFICER (EVP, Retail & People Officer)",SEC_FORM_4,1,Krusmark Christopher D,Sleep Number Corp
"OFFICER (EVP, Retail)",SEC_FORM_4,1,Borrelli Domenic,HORMEL FOODS CORP /DE/
"OFFICER (EVP, Sales & Marketing)",SEC_FORM_4,1,Last Timothy James,Iridium Communications Inc.
"OFFICER (EVP, Sec & General Counsel)",SEC_FORM_4,1,Voyles Robb L.,HALLIBURTON CO
"OFFICER (EVP, Sec. & Chief Gov. Officer)",SEC_FORM_4,1,KAUFMAN CAROL R,COOPER COMPANIES INC
"OFFICER (EVP, Secretary and CFO)",SEC_FORM_4,1,Wagner Donice L.,"Magnolia Bancorp, Inc."
"OFFICER (EVP, Secretary and CLO)",SEC_FORM_4,1,Beckwith Van H.,HALLIBURTON CO
"OFFICER (EVP, Senior Executive Counsel)",SEC_FORM_4,1,Bishop III E. Liston,Unum Group
"OFFICER (EVP, Services & Equipment)",SEC_FORM_4,1,Gharbi Hinda,SCHLUMBERGER LIMITED/NV
"OFFICER (EVP, Special Advisor, Strategy)",SEC_FORM_4,1,BERBERIAN LANCE,LABCORP HOLDINGS INC.
"OFFICER (EVP, Special Projects)",SEC_FORM_4,1,JOHNSTON TERRY L,LENNOX INTERNATIONAL INC
"OFFICER (EVP, Specialty, Pharma, & ID)",SEC_FORM_4,1,Foard Brian,"Merck & Co., Inc."
"OFFICER (EVP, Sr. Advisor)",SEC_FORM_4,1,HEARNE ANDREW NIGEL,CHEVRON CORP
"OFFICER (EVP, Stanley Black & Decker)",SEC_FORM_4,1,Ansell Jeffrey D,"STANLEY BLACK & DECKER, INC."
"OFFICER (EVP, Store Ops & Development)",SEC_FORM_4,1,Deckard Steven R,DOLLAR GENERAL CORP
"OFFICER (EVP, Strat Dev & Pres Intl)",SEC_FORM_4,1,OLIVO MARIA,"TRAVELERS COMPANIES, INC."
"OFFICER (EVP, Strategic Development)",SEC_FORM_4,1,Toth Peter,NEWMONT Corp /DE/
"OFFICER (EVP, Strategy & Business Dev)",SEC_FORM_4,1,Lull Brad,"Sunbelt Rentals Holdings, Inc."
"OFFICER (EVP, Strategy & Development)",SEC_FORM_4,1,Deckard Steven R,DOLLAR GENERAL CORP
"OFFICER (EVP, Strategy & Mktg Officer)",SEC_FORM_4,1,Houston Julia A,EQUIFAX INC
"OFFICER (EVP, Strategy & Risk & CCO)",SEC_FORM_4,1,Luhrs Michael,NISOURCE INC.
"OFFICER (EVP, Strategy and Bus. Dev.)",SEC_FORM_4,1,Koppel Adam,BIOGEN INC.
"OFFICER (EVP, Strategy, Growth & Innova)",SEC_FORM_4,1,Click Christopher A,Murphy USA Inc.
"OFFICER (EVP, Supp. Chain, Mfg. & Sourc)",SEC_FORM_4,1,Rainwater Evan,"Albertsons Companies, Inc."
"OFFICER (EVP, Supply Chain)",SEC_FORM_4,1,Vagell Margrethe R,LOWES COMPANIES INC
"OFFICER (EVP, Sustainability & Corp Aff)",SEC_FORM_4,1,Campbell Tracey D,LyondellBasell Industries N.V.
"OFFICER (EVP, Systems)",SEC_FORM_4,1,Fowler John F,ORACLE CORP
"OFFICER (EVP, THE STRATEGY GROUP)",SEC_FORM_4,1,Sheedy William M.,VISA INC.
"OFFICER (EVP, TREASURER & CFO)",SEC_FORM_4,1,BUSH SAMUEL D,SAGA COMMUNICATIONS INC
"OFFICER (EVP, Tech, Bus. Sol & Corp Aff)",SEC_FORM_4,1,Karaboutis Adriana,BIOGEN INC.
"OFFICER (EVP, Tech, Customer & CCO)",SEC_FORM_4,1,Luhrs Michael,NISOURCE INC.
"OFFICER (EVP, Technology & Products)",SEC_FORM_4,1,Deboer Scott J,MICRON TECHNOLOGY INC
"OFFICER (EVP, Technology Development)",SEC_FORM_4,1,Deboer Scott J,MICRON TECHNOLOGY INC
"OFFICER (EVP, Transformation)",SEC_FORM_4,1,Lotvin Alan,CVS HEALTH Corp
"OFFICER (EVP, Treasurer, & CFO)",SEC_FORM_4,1,WINOKER LAURENCE,"LIFETIME BRANDS, INC"
"OFFICER (EVP, Trupanion International)",SEC_FORM_4,1,WHEELER SIMON,"TRUPANION, INC."
"OFFICER (EVP, US SBU President)",SEC_FORM_4,1,Krueger Lisa,AES CORP
"OFFICER (EVP, Underwriting & Sales Adm.)",SEC_FORM_4,1,Sweeney Robert,GLOBE LIFE INC.
"OFFICER (EVP, W. Regional Pres.)",SEC_FORM_4,1,WIBBENMEYER NICHOLAS ANDREW,REGENCY CENTERS CORP
"OFFICER (EVP, WW Sales & Marketing)",SEC_FORM_4,1,Sciammas Maurice,MONOLITHIC POWER SYSTEMS INC
"OFFICER (EVP, World-Wide Sales)",SEC_FORM_4,1,DOWNING JOHN,NETSCOUT SYSTEMS INC
"OFFICER (EVP, Worldwide Commercial Ops)",SEC_FORM_4,1,Hamill Laura,GILEAD SCIENCES INC
"OFFICER (EVP, sales and service)",SEC_FORM_4,1,Zhang Kejing,GDS Holdings Ltd
"OFFICER (EVP,CFO, Treasurer & Secretary)",SEC_FORM_4,1,Neely Kay C.,"Sila Realty Trust, Inc."
"OFFICER (EVP,Chief Info&Digital Officer)",SEC_FORM_4,1,Williams David Michael,"Merck & Co., Inc."
"OFFICER (EVP,Chief Supply Chain Officer)",SEC_FORM_4,1,Borzi James W,BAXTER INTERNATIONAL INC
"OFFICER (EVP,Chief Suppy Chain Officer)",SEC_FORM_4,1,Borzi James W,BAXTER INTERNATIONAL INC
"OFFICER (EVP,Corporate &Medical Affairs)",SEC_FORM_4,1,Alton Gregg H,GILEAD SCIENCES INC
"OFFICER (EVP,General Counsel & CorpSecy)",SEC_FORM_4,1,Galloway Heath H,ACCENDRA HEALTH INC/VA/
"OFFICER (EVP,General Counsel,Secretary)",SEC_FORM_4,1,Sparks Martin Randolph,NBT BANCORP INC
"OFFICER (EVP,Group Pres, Healthcare)",SEC_FORM_4,1,Rasul Reazur,BAXTER INTERNATIONAL INC
"OFFICER (EVP,Group Pres, Kidney Care)",SEC_FORM_4,1,Toth Christopher A.,BAXTER INTERNATIONAL INC
"OFFICER (EVP,Group Pres, Med Products)",SEC_FORM_4,1,Knight Heather,BAXTER INTERNATIONAL INC
"OFFICER (EVP,Group Pres,Healthcare)",SEC_FORM_4,1,Rasul Reazur,BAXTER INTERNATIONAL INC
"OFFICER (EVP,Group Pres,Med Products)",SEC_FORM_4,1,Knight Heather,BAXTER INTERNATIONAL INC
"OFFICER (EVP,Group President, Pharma)",SEC_FORM_4,1,Sonig Alok,BAXTER INTERNATIONAL INC
"OFFICER (EVP,Group President,Pharma)",SEC_FORM_4,1,Sonig Alok,BAXTER INTERNATIONAL INC
"OFFICER (EVP,Secretary,General Counsel)",SEC_FORM_4,1,Bolash Brian W.,ERIE INDEMNITY CO
OFFICER (EVP- Energy Strategy/Bus. Dev.),SEC_FORM_4,1,Olivier Leon J,EVERSOURCE ENERGY
OFFICER (EVP- Final Mile Services),SEC_FORM_4,1,Webb Brian,HUNT J B TRANSPORT SERVICES INC
OFFICER (EVP-CHIEF LENDING OFFICER),SEC_FORM_4,1,Windes Richard,"SOUTHERN MISSOURI BANCORP, INC."
OFFICER (EVP-Chief HR Officer),SEC_FORM_4,1,Funke Jerod,"InfuSystem Holdings, Inc"
OFFICER (EVP-Chief Human Resources Off),SEC_FORM_4,1,GARRIGUES BERNARD M,WEBSTER FINANCIAL CORP
OFFICER (EVP-Chief Information Officer),SEC_FORM_4,1,Kay Kathleen B,PRINCIPAL FINANCIAL GROUP INC
"OFFICER (EVP-Chief Innovation, Tech)",SEC_FORM_4,1,Devgun Shaleen,"Schneider National, Inc."
OFFICER (EVP-Chief Operating Officer),SEC_FORM_4,1,Burkart John F.,WELLTOWER INC.
OFFICER (EVP-Chief Strategic Plan. Off.),SEC_FORM_4,1,KLEIBOEKER RYAN MICHAEL,LEGGETT & PLATT INC
OFFICER (EVP-Chief Supply Chain Officer),SEC_FORM_4,1,Gross Marion K.,MCDONALDS CORP
OFFICER (EVP-Clinical Operations & CMO),SEC_FORM_4,1,Rice David V.,COMMUNITY HEALTH SYSTEMS INC
OFFICER (EVP-Commercial Banking),SEC_FORM_4,1,MOTL CHRISTOPHER J,WEBSTER FINANCIAL CORP
OFFICER (EVP-Commercial Division),SEC_FORM_4,1,Werdein Jeffrey M.,"Lake Shore Bancorp, Inc. /MD/"
OFFICER (EVP-Corp Rel & Sustainability),SEC_FORM_4,1,Hunt James W III,EVERSOURCE ENERGY
OFFICER (EVP-Cust Exp & Energy Strategy),SEC_FORM_4,1,Conner Penelope M,EVERSOURCE ENERGY
OFFICER (EVP-Customer & Corp Relations),SEC_FORM_4,1,NOLAN JOSEPH R JR,EVERSOURCE ENERGY
"OFFICER (EVP-Eng, Constr and Gen)",SEC_FORM_4,1,Bellar Lonnie E,PPL Corp
OFFICER (EVP-Global Chief Info. Officer),SEC_FORM_4,1,Rice Brian S,MCDONALDS CORP
OFFICER (EVP-PubPol&ChiefLegalOfficer),SEC_FORM_4,1,Venkatesh Vandana,VERIZON COMMUNICATIONS INC
OFFICER (EVP-STRATEGY & CHIEF ADMIN OFF),SEC_FORM_4,1,GREENWOOD GREG A,"Evergy, Inc."
"OFFICER (EVP-Strategy, Cust & Corp Rel)",SEC_FORM_4,1,NOLAN JOSEPH R JR,EVERSOURCE ENERGY
OFFICER (EVP-Treasurer),SEC_FORM_4,1,OLIVO MARIA,"TRAVELERS COMPANIES, INC."
OFFICER (EVP-Verizon Global Services),SEC_FORM_4,1,Arumugavelu Shankar,VERIZON COMMUNICATIONS INC
OFFICER (EVP/CCO),SEC_FORM_4,1,Benke Robert,RIVERVIEW BANCORP INC
OFFICER (EVP/CFO (GBank)),SEC_FORM_4,1,Whicker Jeffery Ernest,GBank Financial Holdings Inc.
OFFICER (EVP/CFO/Treasurer/Secretary),SEC_FORM_4,1,BROUCEK JAMES S,Citizens Community Bancorp Inc.
OFFICER (EVP/CHIEF ACCOUNTING OFF),SEC_FORM_4,1,Westington Stephanie A.,PEOPLES FINANCIAL SERVICES CORP.
OFFICER (EVP/COO of GBank),SEC_FORM_4,1,Campbell Tara Allyce,GBank Financial Holdings Inc.
OFFICER (EVP/CRDEO),SEC_FORM_4,1,Lightheart Charmaine,RIVERVIEW BANCORP INC
OFFICER (EVP/Chief Banking Officer),SEC_FORM_4,1,McCuen Michael P,FIRST COMMONWEALTH FINANCIAL CORP /PA/
OFFICER (EVP/Chief Customer Officer),SEC_FORM_4,1,Carere Brie,FEDEX CORP
OFFICER (EVP/Chief Lending Officer),SEC_FORM_4,1,Eberly Paul E.,F&M BANK CORP
OFFICER (EVP/Chief Operations Officer),SEC_FORM_4,1,Fan Gary,RBB Bancorp
OFFICER (EVP/Chief Sales Officer),SEC_FORM_4,1,Colleran Donald F,FEDEX CORP
OFFICER (EVP/Chief TM Officer),SEC_FORM_4,1,Mink Robin,CNB FINANCIAL CORP/PA
OFFICER (EVP/GENERAL COUNSEL),SEC_FORM_4,1,Cummings Mary Griffin,PEOPLES FINANCIAL SERVICES CORP.
OFFICER (EVP/GM App & Data Platform),SEC_FORM_4,1,Ainsworth John,PROGRESS SOFTWARE CORP /MA
OFFICER (EVP/Gen Counsel/Corp Secretary),SEC_FORM_4,1,Haughton Jamal H,"CHARTER COMMUNICATIONS, INC. /MO/"
"OFFICER (EVP/Pres, Health Care Benefits)",SEC_FORM_4,1,Finke Daniel P,CVS HEALTH Corp
"OFFICER (EVP/Pres., Americas)",SEC_FORM_4,1,Masick Michael Andrew,BROWN FORMAN CORP
"OFFICER (EVP/President, Aetna)",SEC_FORM_4,1,Kane Brian A,CVS HEALTH Corp
OFFICER (EVP/Principal Financial Ofcr),SEC_FORM_4,1,SOMMA ANTHONY D,"Evergy, Inc."
OFFICER (EVP: CHIEF COMMERCIAL OFFICER),SEC_FORM_4,1,williams craig a.,"NIKE, Inc."
"OFFICER (EVP: CHIEF INN,PROD&DSG OFCR)",SEC_FORM_4,1,McCartney Philip,"NIKE, Inc."
OFFICER (EVP: CHIEF OPERATING OFFICER),SEC_FORM_4,1,Alagirisamy Venkatesh,"NIKE, Inc."
OFFICER (EVP: CHIEF PEOPLE OFFICER),SEC_FORM_4,1,Heinle Treasure,"NIKE, Inc."
OFFICER (EVP: Global Sports Marketing),SEC_FORM_4,1,Miller Ann M,"NIKE, Inc."
"OFFICER (EVP; Chief Cml Ofcr; GM, SMG)",SEC_FORM_4,1,Schell Christoph,INTEL CORP
OFFICER (EVP; Chief Cml Ofcr; SMG),SEC_FORM_4,1,Schell Christoph,INTEL CORP
OFFICER (EVP; President - PeopleScout),SEC_FORM_4,1,Betori Richard P.,"TrueBlue, Inc."
OFFICER (EVP;Pres DesignerBrands Canada),SEC_FORM_4,1,Turner Mary,Designer Brands Inc.
OFFICER (EVPand Chief Financial Officer),SEC_FORM_4,1,Hinson Donald,HERITAGE FINANCIAL CORP /WA/
OFFICER (EXEC VP&PRES BRUKER NANO INC.),SEC_FORM_4,1,Munch Mark,BRUKER CORP
OFFICER (EXEC. VP AND CLO),SEC_FORM_4,1,Boulding Mark Elliott,"PTC THERAPEUTICS, INC."
OFFICER (EXECUTIVE OFFICER),SEC_FORM_4,1,SCHMIDT MARIANNE,EAGLE FINANCIAL SERVICES INC
OFFICER (EXECUTIVE VICE PRESIDENT & COO),SEC_FORM_4,1,CURLEY KEVIN M,TRUSTCO BANK CORP N Y
OFFICER (EXECUTIVE VP & CFO),SEC_FORM_4,1,MANDOS ROBERT R,AMETEK INC/
OFFICER (EXECUTIVE VP & GENERAL COUNSEL),SEC_FORM_4,1,CHEN MICAH,"Willdan Group, Inc."
OFFICER (EXECUTIVE VP AND CFO),SEC_FORM_4,1,Oldenkamp Jeffrey P.,HAWKINS INC
"OFFICER (EXECUTIVE VP, UNITED STATES)",SEC_FORM_4,1,Kermelewicz Robert,FGI Industries Ltd.
"OFFICER (Eexcutive Vice President, SCS)",SEC_FORM_4,1,Connally Stan W,SOUTHERN CO
OFFICER (Engineering Officer),SEC_FORM_4,1,Tavares de Sousa Roberval,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO-SABESP
"OFFICER (Ex VP & COO, MPLX GP LLC)",SEC_FORM_4,1,Floerke Gregory Scott,Marathon Petroleum Corp
"OFFICER (Exe V-P & Pres, MRL)",SEC_FORM_4,1,PERLMUTTER ROGER M,"Merck & Co., Inc."
OFFICER (Exe V-P & Pres. MMD),SEC_FORM_4,1,Chattopadhyay Sanat,"Merck & Co., Inc."
OFFICER (Exec Chairman of the Board),SEC_FORM_4,1,JUDGE JAMES J,EVERSOURCE ENERGY
OFFICER (Exec Mng Dir of Strategic Init),SEC_FORM_4,1,Steinmetz John,National Bank Holdings Corp
OFFICER (Exec VP & CFO),SEC_FORM_4,1,Jones Jeanne M,EXELON CORP
OFFICER (Exec VP & Chief Admin Officer),SEC_FORM_4,1,SCHELBLE JIM S,WERNER ENTERPRISES INC
OFFICER (Exec VP & Chief Operating Ofcr),SEC_FORM_4,1,Chadwick John J.,PULTEGROUP INC/MI/
OFFICER (Exec VP & General Counsel),SEC_FORM_4,1,Donofrio John,Johnson Controls International plc
"OFFICER (Exec VP & President, GBD)",SEC_FORM_4,1,Norwood Felicia F,"Anthem, Inc."
"OFFICER (Exec VP Finance, CFO)",SEC_FORM_4,1,Rosenblum Mark J,"Salarius Pharmaceuticals, Inc."
OFFICER (Exec VP General Counsel & Sec),SEC_FORM_4,1,Husted Amy D.,KIRBY CORP
OFFICER (Exec VP and CAO),SEC_FORM_4,1,Flanagan Cary M,Knight-Swift Transportation Holdings Inc.
OFFICER (Exec VP& Chief Legal Officer),SEC_FORM_4,1,Bichara Guillermo,LINDE PLC
"OFFICER (Exec VP, CAO & Treasurer)",SEC_FORM_4,1,Friedman Joel Albert,"SAUL CENTERS, INC."
"OFFICER (Exec VP, CFO & CAO)",SEC_FORM_4,1,Baughman Michael J,EMERSON ELECTRIC CO
"OFFICER (Exec VP, CFO & Treasurer)",SEC_FORM_4,1,DALEY CHARLES J JR,Artisan Partners Asset Management Inc.
"OFFICER (Exec VP, Chief Admin Officer)",SEC_FORM_4,1,Kinney Virginia,"NRG ENERGY, INC."
"OFFICER (Exec VP, Chief Fin Officer)",SEC_FORM_4,1,CREGG ROGER A,PULTEGROUP INC/MI/
"OFFICER (Exec VP, Gen Counsel & Secret)",SEC_FORM_4,1,Fong Ivan K,3M CO
"OFFICER (Exec VP, General Counsel & Sec)",SEC_FORM_4,1,Shea Patrick James,"Waste Connections, Inc."
"OFFICER (Exec VP, Tech & Development)",SEC_FORM_4,1,Myers Thomas Richard,"PURE BIOSCIENCE, INC."
OFFICER (Exec Vice President and CFO),SEC_FORM_4,1,Schaeffer Melissa N.,"Air Products & Chemicals, Inc."
OFFICER (Exec. Chair and CEO),SEC_FORM_4,1,Slater David,"DT Midstream, Inc."
OFFICER (Exec. VP & CFO),SEC_FORM_4,1,OShaughnessy Robert,PULTEGROUP INC/MI/
OFFICER (Exec. VP & COO Reg. Ops),SEC_FORM_4,1,Franklin Chris,AQUA AMERICA INC
OFFICER (Exec. VP & COO),SEC_FORM_4,1,Koart Matthew William,PULTEGROUP INC/MI/
OFFICER (Exec. VP & Chief Strategy Off),SEC_FORM_4,1,Evenson Jeffrey W,CORNING INC /NY
OFFICER (Exec. VP & Chief Tech. Officer),SEC_FORM_4,1,Morse David L,CORNING INC /NY
OFFICER (Exec. VP & Innovation Officer),SEC_FORM_4,1,Curran Martin J,CORNING INC /NY
OFFICER (Exec. VP and CFO),SEC_FORM_4,1,Mitchell Kevin J,Phillips 66
OFFICER (Exec. VP and General Counsel),SEC_FORM_4,1,Emerson Daniel P,TAKE TWO INTERACTIVE SOFTWARE INC
"OFFICER (Exec. VP, CFO)",SEC_FORM_4,1,Upadhyay Suketu,"ZIMMER BIOMET HOLDINGS, INC."
"OFFICER (Exec. VP, Operations)",SEC_FORM_4,1,BURWIG SUSAN E,"Medpace Holdings, Inc."
OFFICER (Exec. VP/ Pres. Cap Ventures),SEC_FORM_4,1,KYRISS KARL,AQUA AMERICA INC
"OFFICER (Exec. Vice Pres., CFO & Treas.)",SEC_FORM_4,1,Bellomo John Anthony,"KORE Group Holdings, Inc."
OFFICER (Exec. Vice President & CCDO),SEC_FORM_4,1,Zhang John Z,CORNING INC /NY
OFFICER (Exec. Vice President & COO),SEC_FORM_4,1,Rozakis Jim,CINTAS CORP
OFFICER (Exec. Vice President),SEC_FORM_4,1,Robinson Teri,"CONSUMER PORTFOLIO SERVICES, INC."
"OFFICER (Exec. Vice President, Research)",SEC_FORM_4,1,Li Yang,"Surrozen, Inc./DE"
OFFICER (Exec. Vice President-HR),SEC_FORM_4,1,Ellinghausen James R,PULTEGROUP INC/MI/
OFFICER (Exec.Vice President and COO),SEC_FORM_4,1,RICKETTS LAWRENCE,ONE LIBERTY PROPERTIES INC
"OFFICER (Executive Chairman, Latam)",SEC_FORM_4,1,Valdes Luis E.,PRINCIPAL FINANCIAL GROUP INC
OFFICER (Executive Legal Advisor to CEO),SEC_FORM_4,1,Brown Marcus V,ENTERGY CORP /DE/
"OFFICER (Executive V.P., CFO)",SEC_FORM_4,1,Jewell Jeffrey A,"DT Midstream, Inc."
OFFICER (Executive VP & CIO),SEC_FORM_4,1,Ingram Robert C III,ERIE INDEMNITY CO
OFFICER (Executive VP & General Counsel),SEC_FORM_4,1,BUTLER GREGORY B,EVERSOURCE ENERGY
OFFICER (Executive VP & Pres-Aerospace),SEC_FORM_4,1,PEABODY MARK,ASTRONICS CORP
"OFFICER (Executive VP & President, MRL)",SEC_FORM_4,1,Li Dean Y,"Merck & Co., Inc."
OFFICER (Executive VP - Administration),SEC_FORM_4,1,Maddox Mark D,APA Corp
OFFICER (Executive VP - CFO & Treasurer),SEC_FORM_4,1,Burke William Joseph,AMETEK INC/
OFFICER (Executive VP - CFO),SEC_FORM_4,1,Burke William Joseph,AMETEK INC/
OFFICER (Executive VP - Finance),SEC_FORM_4,1,Biles Linda M,"M-tron Industries, Inc."
OFFICER (Executive VP - Human Resources),SEC_FORM_4,1,Duffy Julie G,TEXTRON INC
OFFICER (Executive VP EMEA Gases),SEC_FORM_4,1,Menezes Eduardo F,LINDE PLC
OFFICER (Executive VP Exploration),SEC_FORM_4,1,Henderson Tracey K,APA Corp
"OFFICER (Executive VP Finance, CFO)",SEC_FORM_4,1,Rustowicz Gregory P,COLUMBUS MCKINNON CORP
OFFICER (Executive VP Global Services),SEC_FORM_4,1,ALGER EUGENE K,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
OFFICER (Executive VP Operations),SEC_FORM_4,1,Senna Medeiros Carlos Henrique,Vale S.A.
OFFICER (Executive VP and CFO/COO),SEC_FORM_4,1,WILLS STEPHEN T,PALATIN TECHNOLOGIES INC
OFFICER (Executive VP and Group CEO),SEC_FORM_4,1,Hamrock Joseph,NISOURCE INC/DE
OFFICER (Executive VP and Group Pres),SEC_FORM_4,1,MIHALIK TREVOR I,SEMPRA
OFFICER (Executive VP of Consumer Goods),SEC_FORM_4,1,Bueno Luis Renato Costa,Suzano S.A.
OFFICER (Executive VP of Operations),SEC_FORM_4,1,OSBORNE TIMOTHY R,FORWARD AIR CORP
OFFICER (Executive VP of R&D),SEC_FORM_4,1,WIMMERS DIDIER,AEHR TEST SYSTEMS
"OFFICER (Executive VP, APAC)",SEC_FORM_4,1,Panikar John,LINDE PLC
"OFFICER (Executive VP, Americas)",SEC_FORM_4,1,Opfermann Andreas,LINDE PLC
"OFFICER (Executive VP, Banner Bank)",SEC_FORM_4,1,McLean James P.G.,BANNER CORP
"OFFICER (Executive VP, CIO)",SEC_FORM_4,1,Gokey Kevin,CHURCH & DWIGHT CO INC /DE/
"OFFICER (Executive VP, CLO & Corp Sec)",SEC_FORM_4,1,Stafford Ryan K,LITTELFUSE INC /DE
"OFFICER (Executive VP, Chief HR Officer)",SEC_FORM_4,1,Strauss David P,LINDE PLC
"OFFICER (Executive VP, Clean Energy)",SEC_FORM_4,1,Opfermann Andreas,LINDE PLC
"OFFICER (Executive VP, EMEA)",SEC_FORM_4,1,Durbin Sean,LINDE PLC
"OFFICER (Executive VP, Engineering)",SEC_FORM_4,1,Nowicki Juergen,LINDE PLC
"OFFICER (Executive VP, GC and Secretary)",SEC_FORM_4,1,LEV ORI,"NCS Multistage Holdings, Inc."
"OFFICER (Executive VP, Marketing)",SEC_FORM_4,1,Evanson Laura L,GRACO INC
"OFFICER (Executive VP, NIPSCO)",SEC_FORM_4,1,Sistovaris Violet,NISOURCE INC/DE
"OFFICER (Executive VP, Operations)",SEC_FORM_4,1,Wordell Angela F,GRACO INC
"OFFICER (Executive VP, Sales/Marketing)",SEC_FORM_4,1,Katz David Martin,UNIFIRST CORP
"OFFICER (Executive VP, Secretary & GC)",SEC_FORM_4,1,Aragone Augusto,Ingram Micro Holding Corp
"OFFICER (Executive VP, operation)",SEC_FORM_4,1,Qian Yixin,GDS Holdings Ltd
OFFICER (Executive VP- CFO),SEC_FORM_4,1,Puri Dalip,AMETEK INC/
OFFICER (Executive VP/Chief HR Officer),SEC_FORM_4,1,Dishart Noreen,PROASSURANCE CORP
OFFICER (Executive VP; CFO),SEC_FORM_4,1,Galeese James E,LSI INDUSTRIES INC
OFFICER (Executive Vice Pres & COO),SEC_FORM_4,1,Krishnan Ram R.,EMERSON ELECTRIC CO
OFFICER (Executive Vice President & CAO),SEC_FORM_4,1,Thompson Michael Lawrence,CINTAS CORP
OFFICER (Executive Vice President & GC),SEC_FORM_4,1,Etzler Todd A.,HORIZON BANCORP INC /IN/
OFFICER (FOUNDER AND SENIOR ADVISOR),SEC_FORM_4,1,WEHMER EDWARD J,WINTRUST FINANCIAL CORP
"OFFICER (FVP,  General Counsel)",SEC_FORM_4,1,Polniak Joseph,"Pathfinder Bancorp, Inc."
OFFICER (Financial Reporting Lead),SEC_FORM_4,1,Dinwoodie Anna Grace,trivago N.V.
OFFICER (Financial and IR Officer),SEC_FORM_4,1,DUBEUX MARCELLO WINIK,AGI Inc
OFFICER (First Vice President),SEC_FORM_4,1,Swetman Andrew T,PEOPLES FINANCIAL CORP /MS/
OFFICER (Former Board Member),SEC_FORM_4,1,Matthan Ranjit K.,Vystar Corp
OFFICER (Former CEO),SEC_FORM_4,1,Nishijima Hiroshi,"Zoomcar Holdings, Inc."
OFFICER (Former CHRO),SEC_FORM_4,1,Click Betty J.,"DOLLAR TREE, INC."
OFFICER (Former Chief Growth Officer),SEC_FORM_4,1,Sawhill Stephanie,Karman Holdings Inc.
OFFICER (Former Director),SEC_FORM_4,1,LOONEY JOEL W,"SRH Total Return Fund, Inc."
OFFICER (Former EVP & Chief HR Officer),SEC_FORM_4,1,Bisaccia Lisa,CVS HEALTH Corp
"OFFICER (Former EVP, Production)",SEC_FORM_4,1,Centofanti Erin R.,EQT Corp
OFFICER (Former Group Pres. Agri. & CSO),SEC_FORM_4,1,Schapper Aaron M,VALMONT INDUSTRIES INC
OFFICER (Former Officer),SEC_FORM_4,1,Nikitina Tatiana,Laser Photonics Corp
"OFFICER (Former President & CEO, CCL)",SEC_FORM_4,1,CAHILL GERALD RAYMOND,CARNIVAL CORP
OFFICER (Former President and CEO),SEC_FORM_4,1,Hollingshead James,INSULET CORP
OFFICER (Former President),SEC_FORM_4,1,Frank Kay,Madison Covered Call & Equity Strategy Fund
OFFICER (Former SVP & CFO),SEC_FORM_4,1,Platz Marlo Michelle Cormier,"Sally Beauty Holdings, Inc."
OFFICER (Former SVP and CFO),SEC_FORM_4,1,BRAMMAN ANNE L,Avery Dennison Corp
OFFICER (Former VP CAO and Controller),SEC_FORM_4,1,JOHNSTON STEPHEN,TEREX CORP
OFFICER (Freedom Life Chief Exec. Ofc.),SEC_FORM_4,1,Yerdessov Azamat,Freedom Holding Corp.
OFFICER (Frmr. Chief Accounting Officer),SEC_FORM_4,1,Putnam Leah R,"BED BATH & BEYOND, INC."
OFFICER (GC & Chief Compliance Officer),SEC_FORM_4,1,Galvao de Oliviera Simone,"Eve Holding, Inc."
OFFICER (GC & Chief Legal Officer),SEC_FORM_4,1,Brubaker Brad,"UiPath, Inc."
OFFICER (GC & Chief Public Affairs Ofc),SEC_FORM_4,1,DeCecco Julie A.,VAIL RESORTS INC
OFFICER (GC & Corp. Development Advisor),SEC_FORM_4,1,Horton Kenneth L,"Senseonics Holdings, Inc."
OFFICER (GC & Corporate Secretary),SEC_FORM_4,1,LEE JANET,SYNOPSYS INC
OFFICER (GC - Volition Diagnostics),SEC_FORM_4,1,Plummer Nicholas,VOLITIONRX LTD
OFFICER (GC and Corp Secy),SEC_FORM_4,1,Du Zhaoying,"POWER SOLUTIONS INTERNATIONAL, INC."
